,900,895,885,903,892,897,6208,692,662,6205,52,639,645,652,700,709,717,730,733,783,712,731,877,6207,636,701,875,878,881,893,757,50,55,56,61,646,713,739,762,850,861,876,6206,752,891,896,888,728,899,1101,1102,1210,1215,1216,1301,1303,1326,1402,1434,1476,1590,2002,2049,2105,2207,2301,2303,2308,2317,2324,2327,2330,2344,2345,2353,2354,2356,2357,2377,2379,2382,2385,2395,2408,2409,2412,2454,2474,2492,2548,2603,2609,2615,2633,2801,2834,2880,2881,2882,2883,2884,2885,2886,2887,2888,2890,2891,2892,2912,3008,3034,3037,3045,3105,3231,3481,3702,3711,4904,4938,5347,5871,5876,5880,6239,6488,6505,6669,8046,8299,8454,9904,9910,9921,9945
0,unknown,unknown,unknown,unknown,unknown,unknown,富邦台50,富邦公司治理,富邦NASDAQ,富邦上証,富邦科技,富邦深100,富邦日本,富邦印度,富邦恆生國企,富邦歐洲,富邦美國特別股,富邦臺灣優質高息,富邦臺灣中小,unknown,FH富時不動產,FH富時高息低波,unknown,FH滬深,國泰中國A50,國泰臺灣低波動30,unknown,unknown,unknown,unknown,統一FANG+,元大台灣50,元大MSCI金融,元大高股息,元大寶滬深,元大S&P500,元大台灣高息低波,元大MSCI A股,元大全球AI,unknown,unknown,unknown,元大上證50,中信中國50,unknown,unknown,unknown,第一金工業30,unknown,台泥,亞泥,大成,卜蜂,統一,台塑,南亞,台化,遠東新,福懋,儒鴻,亞德客-KY,中鋼,上銀,正新,和泰車,光寶科,聯電,台達電,鴻海,仁寶,國巨,台積電,華邦電,智邦,宏碁,鴻準,英業達,華碩,微星,瑞昱,廣達,群光,研華,南亞科,友達,中華電,聯發科,可成,華新科,華固,長榮,陽明,萬海,台灣高鐵,彰銀,臺企銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,新光金,永豐金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,穩懋,緯創,群創,大聯大,日月光投控,遠傳,和碩,世界,中租-KY,上海商銀,合庫金,力成,環球晶,台塑化,unknown,南電,群聯,富邦媒,寶成,豐泰,巨大,潤泰新
2014+1,0,0,0,0,0,0,0.046730844892413,0,0,0.70358165735147,0.090205176924809,0,0,0,0,0,0,0,0,0,0,0,0,0.57787087879059,0,0,0,0,0,0,0,0.051392591669906,0.023570720191436,0.00097666213267,0.332661231235853,0,0,0,0,0,0,0,0.701267306863327,0,0,0,0,0,0,-0.021051302778397,0.036479693001819,0.13846874845156,0.190515878985349,0.019093936580262,-0.029481449626327,-0.004048329466548,-0.068730377887033,0.024420928456362,-0.006352680357261,0.066052171541488,0.017549742599476,0.055121510982864,-0.040412436483956,0.007232527886127,0.253496281550469,-0.161598718686735,0.126838057280204,0.030008136717492,0.040103607653621,-0.002435940365362,0.423158834329106,0.176291566596617,0.175055408536674,-0.036913256210882,0.049693575876275,0.203642936932589,-0.125389720798207,0.155624728270582,-0.004266008499697,0.149301026551564,0.021652044069938,0.098834425412558,0.193413927373053,0.386596740655323,0.348931202825136,0.031729519054905,0.007022779499266,-0.000145687611804,0.194638291978341,-0.144471948610115,0.261960079187866,0.299836983411184,0.685974709146329,-1.18870332437527E-07,0.028975756796901,0.032773386677794,0,0.139639208179573,0.042231771359714,0.108780877599189,0.10171287540452,0.017040833363829,0.015307729761815,-0.027910816227467,-0.012582447127853,0.024693811826564,0.059442550924377,0.066160088613665,0.133043531659281,0.356051708643487,0.24746194064228,0.001020602573007,0.131652052706959,0,0.075381070423498,0.256864263839901,0.022351757195606,0.127529347635227,0.146379745290916,0.456358331192465,0,0.11682130073474,0,0.033093037194406,0.11154620405372,0,-0.053269574493498,0,-0.026579067351954,0,0,0.080593780944589,0.242247381895453,0.24247615142996,0.021984750276943
2015+1,0,0,0,0,0,0,-0.099125090508168,0,0,-0.106318296767293,-0.060151501629163,0,0,0,0,0,0,0,0,0,0,0,0,-0.015554917133751,0,0,0,0,0,0,0,-0.083233807166327,-0.127344476427383,-0.051431982308506,-0.028290807299476,0,0,0,0,0,0,0,-0.042143699740322,0,0,0,0,0,0,-0.246061496907313,-0.189944839595905,-0.025119211099586,0.0263949670676,0.064936199534079,0.017736990019253,-0.076089426237153,0.010119833267465,-0.131476427664562,-0.036406023651941,0.089624463157803,-0.173171640202269,-0.181026957463121,-0.321330981175887,-0.143471681721619,-0.07169500204901,-0.071963170731185,-0.049568609412552,-0.077316904574502,-0.028960132898749,-0.118317297994636,0.027915501701731,0.036617028762173,-0.056452420716825,1.0353425371423,-0.211412438664461,-0.193113133666609,0.134997929493582,-0.058283190612802,0.500066904744394,0.087974680205984,-0.168900074148898,-0.087530943012552,-0.063222467616482,-0.058777315178353,-0.186747757550297,0.042559416517937,-0.233739297765036,-0.127837212340459,0.246987825090305,0.011168080661224,-0.202258675318456,-0.254199174378307,-0.25011597543613,0.041481961849984,-0.044485450495276,-0.052813243650872,-0.047638567698216,-0.163399164594768,-0.067439216643891,-0.16658311485641,0.027797112176505,-0.138781566354927,-0.101282111019647,-0.092228331895198,-0.139639556296829,-0.170378683495356,-0.11237943057886,-0.049073218110845,-0.059814071253744,-0.17792918368436,-0.029676557500814,-0.135331753882296,-0.020848209626355,0,-0.054276695731292,-0.211145851073063,-0.082920440828626,0.015877699867659,-0.065060630080844,-0.118750759883452,0,-0.123088118058905,-0.094275559945298,-0.052403470629246,0.142816676172223,0,0.075090869469307,0,-0.107214044550417,0,-0.122819299748951,-0.020332561365574,0.084562420174035,-0.155323208152015,0.063442101903928
2016+1,0,0,0,0,0,0,0.089433684055671,0,0,-0.49692622672021,0.101556996048897,-0.063482373218464,0.12651482648085,0,0,0,0,0,0,0,0,0,0,-0.014214701353052,0.020282911239396,0,0,0,0,0,0,0.100405514279105,0.141546840427222,0.058407691705039,-0.008975736898047,0.083241426289926,0,0,0,0,0,0,0.005702077596095,0,0,0,0,0,0,0.122377799736156,-0.007251606433408,0.192150676591939,0.457645417972987,-0.070828022742951,0.139920700838729,0.175930024020627,0.193408350265675,0.022838110628573,0.006154489933078,-0.050632994046362,0.211088384541999,0.164532171078261,0.075343577628515,-0.001457737419302,0.114598553078408,0.194336252798741,-0.030787515989378,0.056999431379233,0.137213961710349,-0.028575638734862,-0.088121791363747,0.131021309337566,0.090249066943349,0.280599383417198,0.01761332468596,0.169090647067586,0.014992935487718,0.002767599797178,0.274995130309192,0.090324233677313,0.077195437248496,0.033428594395723,0.080111637409244,0.255347265729445,0.161680371672507,-0.042309436099655,-0.025932537722459,-0.025844895580561,0.216971854740881,0.099631945632098,-0.0660646249606,-0.32163829268528,-0.002060818007649,0.223485244283466,0.101834944811395,0.037926614450906,0.083220890346068,0.278307574121643,0.279899980800567,0.043467433937523,0.09096908863503,0.102197268191553,0.048191099206118,0.081949626705199,0.182867171557752,0.029902875196128,0.142789241294139,0.125842117601206,-0.001836515158103,0.363818155689674,-0.039904972584244,-0.087142613947747,-0.005394750149248,0,0.262401859895855,0.130318554277164,0.103587899763072,-0.042417423430877,-0.002941284560007,0.083935886770102,0,0.062437668898457,0.006302744190772,0.058197711372542,0.18794298432362,0,0.254153094916251,0,-0.114676243122882,0,-0.061975976270213,-0.021274493998522,-0.084193157310342,-0.083913626400281,-0.040430033854776
2017+1,0,0,0,0,0,0,0.061296440572358,0,0.093264587922413,0.104016472222425,0.114943156552284,0.13609306926925,0.114502775353021,0.054513148936849,0,0,0,0,0,0,0,0,0,0.120412192109742,-0.475517947870407,0,0,0,0,0,0,0.049185386489212,0.07911383260639,0.025791755362292,0.147646631066728,0.078693112464798,0,0,0,0,0,0,0.136726737699219,0,0,0,0,0,0,0.061554669941972,0.045402418238446,0.10785854939102,0.099907862135939,0.131171241903726,0.100703124692034,0.089328275382884,0.136888209142306,0.086215940590498,0.041802529136393,-0.049722135339204,0.514052455873847,0.011954250012179,0.486127370674076,-0.108751285452899,0.002583278431835,-0.096574278491803,0.07768150491104,-0.080130737682748,-0.037138109130561,0.073295283430027,1.30722422997529,0.131972871531521,0.366841426486377,0.451625649295355,0.53758780201736,-0.038111046509096,0.055944093602769,0.06043174899076,0.138279652446076,0.024553508769784,-0.04608994445883,0.010877276085,-0.026449964677922,0.340323164957249,0.018902188553671,0.044441719902052,0.184152773614532,0.068912235956894,0.810588349490914,0.084219287721614,0.07712521382353,-0.092411974554751,0.085015048423528,0.031761861379731,0.004638861791408,0.031197165988185,0.048390859174016,0.064007770937385,0.106430968804354,0.201239908983988,0.087777021834418,0.069302260673904,0.027048117215827,0.113787200089006,0.23920965217396,0.08690446432571,0.09176071906095,0.074870659687125,0.127450095722343,-0.184762587539895,0.014057252000281,0.020790366620679,0.005677909479225,0,-0.054278915159947,-0.093428634465706,0.02497518539599,0.030965263205817,0.015833076106093,-0.116798379286528,0,0.211355546616092,0.1000169555236,0.114183032790867,-0.012669324265551,0,0.119552167147966,0,0.04927507033489,0,0.032934203919538,-0.020710953259054,0.065574318190814,0.013619904292934,0.069184571813801
2018+1,0,0,0,0,0,0,-0.061893115435534,-0.051383295272275,-0.074530037681732,-0.144359408062379,-0.07616314692446,-0.224577027182896,-0.124642771815916,-0.004285766579354,-0.096641149913219,-0.108859491635612,-0.029748572769555,0,0,0,0.011096000551815,0,0,-0.159355180113598,-0.175547200965174,-0.001790179337658,0,0,0,0,0,-0.062208832419104,-0.010497019019711,-0.022653690464115,-0.159835190267149,-0.063264128482693,-0.044196495539318,0,0,0,0,0,-0.130743391045778,0,0,0,0,0,0,-0.009466450668386,0.055170087802186,0.03156078713487,-0.011886435554381,-0.002112864308348,-0.023586803743953,-0.051470928148361,-0.043493845698474,-0.011094159308159,0.078090594916697,0.024861582855988,-0.164820292391538,0.022502491187881,-0.246557100169239,-0.08670478359306,-0.038093669177128,0.090871305500798,-0.208645693580016,0.100856916565782,-0.254050221080826,-0.049486323928764,-0.249033758353808,-0.022772752100025,-0.173765573922605,0.101232280849658,-0.150583586126007,-0.152427906139672,-0.026526194044353,-0.181661240419941,-0.102056004468635,0.207198234333196,0.01693505850497,-0.043137364882488,0.021418340547246,-0.211254234484658,0.0274306769561,0.016690598354383,-0.141836390134369,-0.270181087412865,-0.039386503062043,0.057053759004602,-0.084717464960601,-0.065597094050554,-0.04176253478561,0.246788169548938,0.030819205565059,0.137311747376446,0.040296837102447,-0.048012853289104,-0.073635626599668,-0.050133512901079,0.029513965699429,0.100415909381848,0.024402778219406,-0.027876873122124,-0.172963403926711,0.04152524629315,-0.020683981983156,0.021607946639413,0.040981388006668,-0.133904982816028,0.084873769712424,0.281654926164647,0.015398619817243,0,-0.063052355765847,-0.100491302161338,-0.075430322744416,-0.19204642415244,0.015453382504289,-0.160776941973675,0,0.024496422499133,0.144552200641016,0.054342024995053,-0.176121283207399,0,-0.076173902666807,0.270880391628078,0.209648663998386,0,-0.099971929455856,-0.030126325248161,0.178526823828827,0.047585208998735,-0.127990794182296
2019+1,0,0,0,0,0,0,0.183222912900027,0.158300209715819,0.067589943031755,0.074339228623781,0.294807363622333,0.118306309804497,0.074237165528397,0.010340768484807,0.028691369339097,0.066872192567397,-0.003299506058437,0.039218970735344,0.223610296408935,0,0.030138700535229,0.041123282927588,0,0.066707013036489,0.110280705867835,0.071936314201815,0,0,0,0,0.154139254365137,0.188307732532692,0.094684808571783,0.140821034575369,0.051745035686303,0.093272460902499,0.082448533523605,0.065206154982686,0,0,0,0,0.053589684808215,0.065119900997079,0,0,0,0.16328346525413,0,0.184166131091368,0.186437234809266,0.231991449489454,0.101458577475485,0.003873446948947,0.008956552301737,0.020747052549031,-0.077489608273912,0.01101646295065,-0.011983708549975,0.040390478486733,0.289091430719565,0.01372680268509,0.126466138035163,0.007551995905368,0.648808348210643,0.100877042690981,0.287047789490412,0.048997181257535,0.211267576761304,0.041413293557545,0.716328070642071,0.335621649621252,0.27866017731455,0.297396725616626,-0.028210235347928,0.072116772442047,0.026051190476366,0.097302286644925,0.070417597063002,0.20585015410463,0.150429445321867,0.161591764628982,0.178433235286362,0.363226064193809,0.1080257448142,0.027447429017333,0.43242637520141,0.014643969315419,0.486896063589109,0.191471635130549,0.009705012098401,-0.112373238072657,0.067397463337765,0.061380644112141,0.171521597760796,0.072476402713782,0.14636336543159,0.070058589798059,0.025790155401602,0.031642729667155,0.18917258378408,0.154910234973014,0.130097045396708,0.072962665697535,0.152790025597538,0.126887827481726,0.098527595159087,0.161803052992831,0.026853279582798,0.220182197773068,0.250785684946698,0.261613940390548,0.023318430837998,0,0.221606623374,0.047570575956148,0.043048861943768,0.264456300495471,0.014834162791086,0.304568763755933,0,0.145683863824464,0.075370592454033,0.083741679196866,0.313752435154761,0,-0.05665285193564,0.6628612209266,0.103980942987978,0,0.149668778141111,0.056422707257612,-0.008509462764094,0.040097337927848,0.056115029618294
2020+1,0,0,0,0,0,0,0.265186071625195,0.245566702323151,0.214363989279633,0.199128207343782,0.44931068106187,0.31061082766927,0.13401387202027,0.196028429419845,0.004612821918684,0.151449164216211,-0.004481911791722,0.078084005463505,0.243500432125922,0.094203890003097,0.098723041563257,0.068113151101546,0,0.218095943268996,0.318647554068616,0.057847478554609,0,0,0,0,0.451365236358545,0.284291637032564,0.021979765477563,0.050847431025949,0.216628500447426,0.120989794488992,0.099650213481017,0.210664061555226,0.247067300042717,0.234790161882174,0.218860066963611,0,0.183021631932078,0.148354557101451,0,0,0,0.252148803526807,0,0.087131269220436,0.037348819196646,0.232199234779362,0.135972174146888,-0.006183411048705,0.150856260254156,0.133333753854412,0.16010341020213,0.107006107044786,-0.010265752029434,0.244937247848337,0.556391545004921,0.190447188754093,0.369774636288694,0.199525373322335,0.049619896440355,0.106253984510115,1.42289265521808,0.628753993878917,0.201174644484753,0.135051968230962,0.392121163953413,0.493434811457444,0.975227658755804,0.52645070627947,0.27854897446816,0.010255276281645,0.057859483876141,0.151549898389153,0.268526358197987,0.354158092169716,0.182380456957195,0.032610121060841,0.25818804742523,0.392373609581266,0.440412897732763,0.0167099517934,0.533755970256495,0.059258651664899,0.250458485873549,0.034458889234497,2.19819143844915,3.01549172280223,1.88948417681891,-0.029572433086521,-0.0438184714094,-0.035611326444766,-0.004982152075273,0.107012070784926,0.086788843337675,0.089591145050992,0.01148731634138,0.176782197683946,0.020918237041239,0.039700698351623,0.054030740091632,0.025546620291805,0.016083340838094,0.018386751484001,-0.041666244046154,-0.145882717815644,0.600820142334417,0.76194877323834,-0.027807479242107,0,0.089646417726871,0.742306023807041,0.118235694188597,0.228074598689279,-0.024551592229474,0.081415608756636,0,0.375423422898802,-0.021225881853258,0.03939444553763,0.007336122050893,0,0.169160691293819,-0.025288399022789,1.46951885800751,0,0.28219004928138,0.099238288230251,0.30238865594671,0.241376366112341,0.261642443962034
2021+1,0,0,0,0,0,0,0.046205179733796,0.035778166129649,0.136321071916783,-0.028538713346307,0.069580557395181,-0.012786764307781,0.029210664097149,0.064844199518828,-0.179350002996865,0.033320900515858,-0.01152297073714,-0.0225584815567,0,0.07053027066093,-0.041534517475769,0.055428031121915,0,-0.004730402625533,-0.048324748734341,0.125637122081604,-0.006140654403351,0.064688019923182,0.082543419981491,0,0.045014639182642,0.064674311553391,0.169410191977288,0.016711608415756,-0.026595422711742,0.116784347915993,0.043919958651528,-0.000315143325983,0.126879506135659,0.063422634926187,0.136270858914829,0.141487123514287,-0.048203750900417,-0.220507475065631,0,0,0,0.116171337222006,0,0.053193339519887,0.008065453227567,0.03271047732172,0.068491463855882,0.006187444299585,0.037565076627459,0.062369946244379,-0.019131156859138,0.016331322022067,-0.024396151201735,0.199853701132559,0.099825177885538,0.119534838137571,-0.111467346576435,-0.098521427769571,0.059791837034513,0.10510347588789,0.188207577892628,-0.001069501039152,-0.041637948830205,0.070150559451592,-0.041810069644439,0.04461385935149,0.12995137605729,-0.055574443014721,0.165754851763197,-0.010901781298108,0.030602283071489,0.159030967286455,0.096569916345165,0.187934895598708,0.153902488817203,0.00488073449559,0.131903224054847,0.016807698047626,0.19100797471275,0.062384188960638,0.298588615661092,-0.086410006383884,-0.131636494251995,0.060250740967351,0.973382281159074,1.03298134797651,1.21115608230209,0.016027445590574,0.032648690279661,0.066490380755109,0.138955446579301,0.283830316200425,0.239347644948979,0.461197401135345,0.133966045371291,0.083472606544522,0.14509013562154,0.294964165941436,0.211246652331887,0.259602643061125,0.205037409345259,0.134572636711116,0.029898256506568,-0.050926589078728,0.15518835148205,0.95659972527683,0.041968609878583,0,0.016863610690345,0.105186063124457,0.114267763708821,0.006178963162016,0.058007154034297,0.017862943478562,0,0.329312211959667,0.125446871566398,0.231191374024414,-0.020879132053804,0,-0.038078922487826,0.268105838265134,0.62988488408461,0,0.652453142003491,0.00571726022561,0.130571338791381,0.144844356921791,0.569689812822164
