,50,2330,2454,2379,3034,2885,2886
0,元大台灣50,台積電,聯發科,瑞昱,聯詠,元大金,兆豐金
2001+1,0,0.354778903082049,0,0.607039960697107,0,1.16975044076197E-07,0.214390865322824
2002+1,0,-0.294242819834613,-0.17957423051306,-0.165636137807592,0,-0.091544636249699,0.047307385529206
2003+1,0,0.165052208565797,0.30468978918253,-0.086869979237134,0.417274438915942,0.155798763849599,0.274411349467893
2004+1,0,0.065688838964948,-0.058904442165346,-0.057681583437078,0.20962274450219,0.293529036482643,0.168707531744319
2005+1,0,0.259425230531073,0.603444496879952,0.221503566676139,0.904910274081587,-0.011732630247524,0.204161308143024
2006+1,0,0.175563432237203,0.132909144934733,0.57067257307232,-0.024496897050518,0.168289720573454,0.164574192324413
2007+1,0,0.002643016432137,0.005007181237983,-0.11265918728566,-0.0793796150045,0.18589435370163,0.06825272993795
2008+1,-0.319901185468224,-0.122232405489644,-0.211177763241506,-0.434634248219147,-0.324051375768933,-0.207086789199245,-0.222732829649959
2009+1,0.289785955142608,0.289066448142943,0.53580075323005,0.725700116995602,0.837210944680318,0.267975234647882,0.307672951470175
2010+1,0.131518324519282,0.227434069548795,-0.026765156329533,-0.000341423431785,0.116070605330749,0.221728901018798,0.288557553409826
2011+1,-0.120739346729742,0.096095488713682,-0.022316535484934,-0.079698435663282,0.016448828677409,-0.110794857261698,-0.033293172560687
2012+1,0.035349216894803,0.220376553812292,0.164690169585911,0.176751592828659,0.348948692530609,0.060965320535895,0.120604133191418
2013+1,0.048391954753661,0.047058193620974,0.27098151776532,0.189897626115027,0.0522195483342,0.205596022348601,0.130119805761819
2014+1,0.051564347407122,0.194269977091638,0.033210049435484,0.201623158837726,0.288397396764737,0.045127013718006,0.060869312589771
2015+1,-0.083277069436106,0.056886335699942,-0.193708257510797,0.151947623727486,0.018320613685963,-0.110825562336517,-0.049972332669384
2016+1,0.092347190428609,0.155568731801398,0.008071877434041,0.127369649470091,0.014574234416585,0.124736197189829,0.107853207634485
2017+1,0.048342570745989,0.159506970970719,0.215704977215931,0.054411544145949,0.05367269711779,0.092923944770056,0.077098821155309
2018+1,-0.06817511937354,-0.004361501289748,-0.122715759343168,0.243932143186335,0.119735645929053,0.124418373471355,0.070921434746603
2019+1,0.180291137123905,0.368892961266781,0.458277248728556,0.238724016717869,0.28776438095513,0.184419325595528,0.221421263766144
2020+1,0.281376363312412,0.516077787490139,0.588189711918116,0.410565811243244,0.643077000135611,0.196651044512533,0.058252599668649
2021+1,0.063954564533348,0.053934682305155,0.356134780096642,0.228053284796401,0.190298270933304,0.112034305676573,0.177441615077985
,0.598136706770723,1.24961963254444,1.50366283605012,1.30305644955989,1.30912222948747,0.835183191215872,0.712988942049175
